Governorate,Date,precipitation,hc_air_temperature,hc_relative_humidity,solar_radiation,wind_speed_sonic,Cereales (T),Maraichage (T),Legumineuses (T),Fourrages (T),Arboriculture (T),Olives (T),Cultures industrielles (T),Year
BIZERTE,2025-08-30,0.0,26.17458333333333,71.60958333333333,226.95833333333331,2.6833333333333336,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-30,0.0,26.17458333333333,71.60958333333333,226.95833333333331,2.6833333333333336,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-30,0.0,26.17458333333333,71.60958333333333,226.95833333333331,2.6833333333333336,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-31,0.0,26.035416666666663,61.57291666666666,275.25,2.0375,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-31,0.0,26.035416666666663,61.57291666666666,275.25,2.0375,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-31,0.0,26.035416666666663,61.57291666666666,275.25,2.0375,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-31,0.0,26.035416666666663,61.57291666666666,275.25,2.0375,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-09-01,0.0,28.46625,57.64166666666667,268.9166666666667,1.9791666666666667,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-09-01,0.0,28.46625,57.64166666666667,268.9166666666667,1.9791666666666667,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-09-01,0.0,28.46625,57.64166666666667,268.9166666666667,1.9791666666666667,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-09-01,0.0,28.46625,57.64166666666667,268.9166666666667,1.9791666666666667,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-09-02,0.0,26.311666666666667,71.10125000000001,183.91666666666663,2.4,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-09-02,0.0,26.311666666666667,71.10125000000001,183.91666666666663,2.4,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-09-02,0.0,26.311666666666667,71.10125000000001,183.91666666666663,2.4,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-09-02,0.0,26.311666666666667,71.10125000000001,183.91666666666663,2.4,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-09-03,0.0,24.890416666666667,61.34625,263.8333333333333,1.8291666666666664,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-09-03,0.0,24.890416666666667,61.34625,263.8333333333333,1.8291666666666664,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-09-03,0.0,24.890416666666667,61.34625,263.8333333333333,1.8291666666666664,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-09-03,0.0,24.890416666666667,61.34625,263.8333333333333,1.8291666666666664,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-09-04,0.0,24.4075,66.52,264.875,1.9875,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-09-04,0.0,24.4075,66.52,264.875,1.9875,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-09-04,0.0,24.4075,66.52,264.875,1.9875,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-09-04,0.0,24.4075,66.52,264.875,1.9875,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-09-05,0.0,25.136666666666667,69.13041666666668,263.5416666666667,1.6124999999999998,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-09-05,0.0,25.136666666666667,69.13041666666668,263.5416666666667,1.6124999999999998,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-09-05,0.0,25.136666666666667,69.13041666666668,263.5416666666667,1.6124999999999998,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-09-05,0.0,25.136666666666667,69.13041666666668,263.5416666666667,1.6124999999999998,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-09-06,0.0,27.390416666666667,69.18583333333333,247.25,2.095833333333333,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-09-06,0.0,27.390416666666667,69.18583333333333,247.25,2.095833333333333,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-09-06,0.0,27.390416666666667,69.18583333333333,247.25,2.095833333333333,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-09-06,0.0,27.390416666666667,69.18583333333333,247.25,2.095833333333333,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-09-07,0.0,27.50208333333333,76.65708333333333,228.29166666666663,1.5041666666666669,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-09-07,0.0,27.50208333333333,76.65708333333333,228.29166666666663,1.5041666666666669,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-09-07,0.0,27.50208333333333,76.65708333333333,228.29166666666663,1.5041666666666669,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-09-07,0.0,27.50208333333333,76.65708333333333,228.29166666666663,1.5041666666666669,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-09-08,0.0,29.162916666666664,55.390833333333326,178.58333333333334,1.15,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-09-08,0.0,29.162916666666664,55.390833333333326,178.58333333333334,1.15,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-09-08,0.0,29.162916666666664,55.390833333333326,178.58333333333334,1.15,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-09-08,0.0,29.162916666666664,55.390833333333326,178.58333333333334,1.15,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-09-09,2.8,28.73125,57.86083333333334,198.70833333333331,1.4916666666666665,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-09-09,2.8,28.73125,57.86083333333334,198.70833333333331,1.4916666666666665,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-09-09,2.8,28.73125,57.86083333333334,198.70833333333331,1.4916666666666665,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-09-09,2.8,28.73125,57.86083333333334,198.70833333333331,1.4916666666666665,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-09-10,0.2,25.104166666666668,88.37958333333334,160.625,1.8625,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-09-10,0.2,25.104166666666668,88.37958333333334,160.625,1.8625,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-09-10,0.2,25.104166666666668,88.37958333333334,160.625,1.8625,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-09-10,0.2,25.104166666666668,88.37958333333334,160.625,1.8625,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-09-11,0.0,25.16125,78.28125,220.66666666666663,1.9708333333333332,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-09-11,0.0,25.16125,78.28125,220.66666666666663,1.9708333333333332,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-09-11,0.0,25.16125,78.28125,220.66666666666663,1.9708333333333332,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-09-11,0.0,25.16125,78.28125,220.66666666666663,1.9708333333333332,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-09-12,0.0,24.952916666666667,75.40541666666667,249.04166666666663,1.5791666666666666,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-09-12,0.0,24.952916666666667,75.40541666666667,249.04166666666663,1.5791666666666666,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-09-12,0.0,24.952916666666667,75.40541666666667,249.04166666666663,1.5791666666666666,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-09-12,0.0,24.952916666666667,75.40541666666667,249.04166666666663,1.5791666666666666,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-09-13,0.0,24.29625,72.80166666666666,259.2083333333333,1.7875,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-09-13,0.0,24.29625,72.80166666666666,259.2083333333333,1.7875,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
